CLE;NATURE;NOM;SITUATION;GEOMETRIE;X_LONG;Y_LAT
16458;Double sens;rue Baudry Lacantinerie;impair;LINESTRING (-0.543737338752669 44.8500486265871, -0.543658056907948 44.8499866886996, -0.54359545458861 44.849969451023, -0.540622350688022 44.8495371799875);-0,543737338752669;44,8500486265871
16465;Double sens;rue Poujeau;impair;LINESTRING (-0.62449059147512 44.852543822479, -0.62470149091382 44.8527095255066, -0.625004538731592 44.8529449004624, -0.625234046581851 44.8532271176055, -0.625275224944067 44.8535412760634, -0.624782016902186 44.8553008037529);-0,62449059147512;44,852543822479
16473;Couloir bus;avenue Maréchal de Lattre de Tassigny;pair;LINESTRING (-0.615001434726612 44.8555324499143, -0.616370732844729 44.8559480183588);-0,615001434726612;44,8555324499143
16474;Double sens;place Pierre Jacques Dormoy;impair;LINESTRING (-0.564620873657889 44.8269890829511, -0.564886820238703 44.8267251926513);-0,564620873657889;44,8269890829511
16479;Couloir bus;cours de la Somme;impair;LINESTRING (-0.572366544976321 44.8299774968012, -0.572298149921481 44.8296502200649, -0.572280879565155 44.8295043815781, -0.572294539715095 44.8292530785899);-0,572366544976321;44,8299774968012
16494;Couloir bus;stalingrad;;LINESTRING (-0.559591760599217 44.8407482318247, -0.560490797860405 44.8402009764183);-0,559591760599217;44,8407482318247
16487;Couloir bus;briand;;LINESTRING (-0.579198222667266 44.8323067568929, -0.577871320852776 44.8320179840347, -0.577248827280317 44.8318807267887, -0.575746952348646 44.8315402297355, -0.575465309512465 44.8314753047236, -0.575222013270332 44.8314183622953, -0.574556753521482 44.8312730661831, -0.574415993731274 44.831240555354, -0.573390461808884 44.8310237863405);-0,579198222667266;44,8323067568929
16488;Couloir bus;marne;pair;LINESTRING (-0.568030962337412 44.8298163706956, -0.567435787978988 44.8296901851669, -0.566956433389075 44.8295822550557, -0.565780962756711 44.8293246294843, -0.563541364120147 44.8288141428851, -0.561794728327688 44.8284266344412);-0,568030962337412;44,8298163706956
16495;Couloir bus;martyrs;;LINESTRING (-0.585719555281435 44.8423266131364, -0.584518767394821 44.8419893458693);-0,585719555281435;44,8423266131364
16491;Couloir bus;ecole normale;;LINESTRING (-0.602341759966225 44.8479119838109, -0.601907935684254 44.8477763572698, -0.60089789675715 44.8474290711101, -0.60013091751583 44.8471677765048, -0.599539960627574 44.8469936943339);-0,602341759966225;44,8479119838109
16497;Couloir bus;rue Jules Ferry;pair;LINESTRING (-0.600017285788224 44.8414437986092, -0.601036675799132 44.8417600723748, -0.601882709553391 44.8419726479784, -0.602311119883706 44.8420102555744, -0.602844360393103 44.8420841791456);-0,600017285788224;44,8414437986092
16498;Couloir bus;rue Docteur Charles Nancel Pénard;pair;LINESTRING (-0.581278711241651 44.839690164859, -0.581589128457676 44.8392009850062);-0,581278711241651;44,839690164859
16499;Couloir bus;rue Docteur Charles Nancel Pénard;impair;LINESTRING (-0.581589128457676 44.8392009850062, -0.581762040093428 44.8388664772871);-0,581589128457676;44,8392009850062
16512;Couloir bus;juin;;LINESTRING (-0.586070274889441 44.8350719652663, -0.583353311164998 44.8358776687784, -0.582536670055814 44.8361046242891, -0.582425191231468 44.836101468135);-0,586070274889441;44,8350719652663
16513;Couloir bus;munich;;LINESTRING (-0.570951439870967 44.8449567846311, -0.574623655889714 44.8446075596871, -0.574746502805975 44.844587576547);-0,570951439870967;44,8449567846311
16502;Couloir bus;place André Meunier dit Mureine;impair;LINESTRING (-0.561580863443503 44.8289149870477, -0.561794728327688 44.8284266344412);-0,561580863443503;44,8289149870477
16509;Couloir bus;cours de la Marne;impair;LINESTRING (-0.559512014564404 44.8279013863031, -0.559427043548068 44.8279028736943, -0.558836289383746 44.8277656064471, -0.558638123534557 44.8276928050701);-0,559512014564404;44,8279013863031
16510;Couloir bus;albert 1er;pair et impair;LINESTRING (-0.555540305865945 44.8133810461248, -0.556234421052026 44.8129953335306, -0.556695254669283 44.8127483379451, -0.557160036062835 44.8125838201644, -0.557652834761409 44.8124816601607, -0.557980443541924 44.812452585783, -0.558385113472456 44.8124623562222, -0.559975674093745 44.8127038127808, -0.5606919073578 44.8128241699785);-0,555540305865945;44,8133810461248
20716;Double sens;rue Matignon;impair;LINESTRING (-0.585307597866386 44.8505701057174, -0.584725593148305 44.8509526348721);-0,585307597866386;44,8505701057174
16092;Aire piétonne;tombe loly;;LINESTRING (-0.573616378589313 44.8323333073267, -0.572927393317722 44.8323403520998);-0,573616378589313;44,8323333073267
15765;Bande unilatérale;saget;pair;LINESTRING (-0.555972364895576 44.8298757331325, -0.556675388064321 44.8289585463533);-0,555972364895576;44,8298757331325
16146;Bande unilatérale;;impair;LINESTRING (-0.5594474387102 44.827821163749, -0.558758996289232 44.8276659637816, -0.558668301874556 44.8276014209847, -0.55827912481996 44.8272149904607);-0,5594474387102;44,827821163749
15861;Couloir bus;somme;;LINESTRING (-0.572234697348364 44.8176445691556, -0.572204258983273 44.8170330671465);-0,572234697348364;44,8176445691556
16144;Double sens;rue Ferbos;pair;LINESTRING (-0.56778632684305 44.8283495188586, -0.567196924763544 44.8281691034032);-0,56778632684305;44,8283495188586
16460;Double sens;rue du Capitaine Ferrand;pair;LINESTRING (-0.539756865164022 44.8524735503113, -0.538122868144193 44.851116607564);-0,539756865164022;44,8524735503113
15860;Bande unilatérale;orano;pair;LINESTRING (-0.593873362784102 44.8327807415758, -0.591944722220754 44.8333436675219, -0.590889337958997 44.833655151288, -0.590636731575647 44.8337275313135, -0.590453011849393 44.8338022410767, -0.588536290379733 44.8343461742416);-0,593873362784102;44,8327807415758
16174;Bande unilatérale;lauradey;pair;LINESTRING (-0.597220798951241 44.8277466800466, -0.59656611672664 44.8269498870486);-0,597220798951241;44,8277466800466
16183;Double sens;rue de Blaye;impair;LINESTRING (-0.545162941700551 44.8482712922843, -0.543834879008033 44.8473572763187, -0.543744162247486 44.8472864165209, -0.543703650956288 44.8471980494606);-0,545162941700551;44,8482712922843
16130;Double sens;rue Pérey;pair;LINESTRING (-0.585209399147873 44.8235598852722, -0.58534574430857 44.8228991667527);-0,585209399147873;44,8235598852722
16273;Couloir bus;domergue;;LINESTRING (-0.567373660628866 44.8890188301131, -0.568059743144469 44.8885513544734, -0.568818234033185 44.8877579493673);-0,567373660628866;44,8890188301131
15858;Piste bidirectionnelle;serr;pair et impair;LINESTRING (-0.561857048818108 44.8411943183079, -0.557333733466595 44.8439475753584);-0,561857048818108;44,8411943183079
15862;Aire piétonne;victoire;;LINESTRING (-0.572766380502931 44.8314301006367, -0.573133692852502 44.8314027117623, -0.572776318105616 44.8306819405502, -0.572066918435699 44.8307146641455, -0.571968820560753 44.8309434855019, -0.572034419130001 44.8314727204056);-0,572766380502931;44,8314301006367
15857;Double sens;kyrie;;LINESTRING (-0.568577334263802 44.8222118600121, -0.568958174253467 44.8222382868204, -0.569427398877419 44.8225146146608, -0.570696730873285 44.8232757752398);-0,568577334263802;44,8222118600121
15864;Aire piétonne;gambetta;;LINESTRING (-0.579669365600675 44.8406800738481, -0.580019879112097 44.840654454117, -0.580072649869963 44.8406581086925);-0,579669365600675;44,8406800738481
16123;Double sens;rue de Solférino;pair;LINESTRING (-0.584366967356089 44.8235219334864, -0.582219242781029 44.8231591761961, -0.582148236831556 44.8231306944635);-0,584366967356089;44,8235219334864
15760;Couloir bus;faure;impair;LINESTRING (-0.555348533210957 44.8617867756093, -0.558370981601321 44.8642943732359, -0.559608352998809 44.8651551335227);-0,555348533210957;44,8617867756093
16039;Double sens;condillac;;LINESTRING (-0.579185466776358 44.8420332629962, -0.578764821196548 44.8428458679275, -0.578469055479786 44.8433922293597, -0.578445311017078 44.8434604463768, -0.577976112374294 44.8443132188647, -0.577836072692963 44.844457967168);-0,579185466776358;44,8420332629962
16107;Aire piétonne;vielle tour;;LINESTRING (-0.579669365600675 44.8406800738481, -0.579709946506755 44.8412291903534, -0.579675653477187 44.841274318566, -0.579477051081626 44.8413342538663, -0.579355662729057 44.8417504613961);-0,579669365600675;44,8406800738481
16191;Double sens;rue Moni;impair;LINESTRING (-0.606331704627819 44.8307748198863, -0.607318762587828 44.8305246336071);-0,606331704627819;44,8307748198863
15854;Double sens;voltaire;;LINESTRING (-0.577355688939159 44.8418729836364, -0.577509928756214 44.8427765073612);-0,577355688939159;44,8418729836364
15853;Zone 30;cazere;;LINESTRING (-0.615039879886248 44.8523035811856, -0.615287530378957 44.8513121974699, -0.616392831717316 44.8514456314941);-0,615039879886248;44,8523035811856
16192;Double sens;rue Moni;impair;LINESTRING (-0.605194718335335 44.8310648795229, -0.606331704627819 44.8307748198863);-0,605194718335335;44,8310648795229
15808;Bande bilatérale;paludate;pair et impair;LINESTRING (-0.554873044890113 44.829323037672, -0.555543740517772 44.8296725773007, -0.555972364895576 44.8298757331325, -0.556820368107322 44.8303105241995, -0.557206692023345 44.8305131964355, -0.557503680615857 44.8306815479203, -0.557671320553572 44.830809263796, -0.558052537243288 44.8311976573153, -0.558584092479874 44.8315626111465);-0,554873044890113;44,829323037672
15933;Couloir bus;cours de la Marne;impair;LINESTRING (-0.559512014564404 44.8279013863031, -0.559427043548068 44.8279028736943, -0.558836289383746 44.8277656064471, -0.558638123534557 44.8276928050701);-0,559512014564404;44,8279013863031
16194;Double sens;rue Laurent Sens;pair;LINESTRING (-0.606331704627819 44.8307748198863, -0.606082485353535 44.8302252899029, -0.606070099690701 44.8301710025696);-0,606331704627819;44,8307748198863
